text,label
inside i feel okay while cooking a simple meal and i am trying to notice my mood,neutral
right now i feel drained while missing my friends and i am just breathing slowly,sad
inside i feel grateful while relaxing at home after a long day and i am writing it down in my journal,happy
lately i have been feeling stressed while before meeting new people after a long day,anxious
these days i feel tense while while waiting for a message while i am doing my normal tasks,anxious
today i feel glad while listening to my favourite music and i am taking a short break,happy
sometimes i feel neutral while walking to the shop and i am thinking about my day,neutral
this morning i felt excited while finishing my work on time and i quietly accept this feeling,happy
this morning i felt proud while having a walk in the park without any special reason today,happy
i get to feeling vain about it i start thinking of it as a battle scar and one that i will wear proudly,sad
inside i feel happy while drinking tea in the evening and i am writing it down in my journal,happy
right now i feel thankful while reading a good book and i am thinking about my day,happy
this morning i felt unhappy while coming back from a bad day at work without any special reason today,sad
this morning i felt frustrated while when my plans are cancelled last minute and i am trying to take care of myself,angry
this evening i feel worried while before giving a presentation and i am just breathing slowly,anxious
right now i feel normal while answering emails and i am writing it down in my journal,neutral
this morning i felt proud while finishing my work on time and i quietly accept this feeling,happy
sometimes i feel calm while cleaning the house after a long day,neutral
this evening i feel angry while when someone blames me for their mistake and i quietly accept this feeling,angry
lately i have been feeling proud while talking with my friends and i am taking a short break,happy
this morning i felt neutral while doing my usual work and i quietly accept this feeling,neutral
this morning i felt neutral while walking to the shop while i am doing my normal tasks,neutral
this morning i felt nervous while before giving a presentation while i am doing my normal tasks,anxious
these days i feel uneasy while before a job interview and i am just breathing slowly,anxious
this evening i feel balanced while cooking a simple meal without any special reason today,neutral
these days i feel worried while before an important exam and i am taking a short break,anxious
right now i feel neutral while doing my usual work and i am trying to take care of myself,neutral
inside i feel restless while trying to fall asleep at night and i am writing it down in my journal,anxious
this evening i feel proud while finishing my work on time and i am writing it down in my journal,happy
right now i feel angry while after waiting in a long line after a long day,angry
i have a plan with friends and a good support system of neighbors to keep me company but it still feels really weird,anxious
this morning i felt content while reading a good book while i am doing my normal tasks,happy
sometimes i feel neutral while doing my daily routine without any special reason today,neutral
this evening i feel angry while when someone cuts me off in traffic and i am trying to take care of myself,angry
this morning i felt sad while looking at old photos and i am writing it down in my journal,sad
inside i feel normal while coming back home from work while i am doing my normal tasks,neutral
lately i have been feeling proud while playing games with my siblings and i am just breathing slowly,happy
these days i feel on edge while while checking my emails and i am trying to take care of myself,anxious
today i feel disappointed while being alone in my room and i am just breathing slowly,sad
these days i feel frustrated while after waiting in a long line and i am paying attention to my thoughts,angry
lately i have been feeling calm while doing my usual work and i am paying attention to my thoughts,neutral
these days i feel sad while coming back from a bad day at work and i am thinking about my day,sad
lately i have been feeling nervous while while waiting for a message after a long day,anxious
inside i feel normal while coming back home from work and i am trying to notice my mood,neutral
these days i feel on edge while while checking my emails and i am paying attention to my thoughts,anxious
today i feel calm while doing my usual work without any special reason today,neutral
this evening i feel furious while when people do not listen to me and i am trying to notice my mood,angry
sometimes i feel lonely while walking home in the rain and i am writing it down in my journal,sad
sometimes i feel stressed while when i see many tasks on my list and i am trying to notice my mood,anxious
this morning i felt content while relaxing at home after a long day and i quietly accept this feeling,happy
sometimes i feel irritated while after a bad meeting at work and i am trying to stay present,angry
lately i have been feeling steady while doing my usual work and i am just breathing slowly,neutral
inside i feel worried while waiting for test results after a long day,anxious
inside i feel drained while trying to sleep but failing after a long day,sad
this morning i felt irritated while when someone cuts me off in traffic and i am trying to take care of myself,angry
sometimes i feel thankful while reading a good book while i am doing my normal tasks,happy
right now i feel heartbroken while coming back from a bad day at work and i am taking a short break,sad
this morning i felt anxious while before a job interview and i am writing it down in my journal,anxious
sometimes i feel sad while looking at old photos and i am paying attention to my thoughts,sad
also i watched tv in the evening at the office,neutral
lately i have been feeling tense while before a job interview and i am trying to take care of myself,anxious
this morning i felt happy while reading a good book after a long day,happy
inside i feel excited while talking with my friends while i am doing my normal tasks,happy
today i feel normal while sitting quietly on the sofa and i am trying to take care of myself,neutral
im feeling lousy i may dismiss a gorgeous day if im feeling bright and cheerful then the most dreary of days becomes tolerable,sad
this morning i felt tense while before giving a presentation and i am paying attention to my thoughts,anxious
this evening i feel fine while coming back home from work and i am just breathing slowly,neutral
this evening i feel boiling inside while after a bad meeting at work and i am trying to take care of myself,angry
this evening i feel fine while organising my room after a long day,neutral
i feel lousy pain in my leg and foot falling back pain my guts were a mess around easter,sad
lately i have been feeling excited while relaxing at home after a long day and i am thinking about my day,happy
these days i feel furious while after a long and stressful day and i am thinking about my day,angry
inside i feel sad while thinking about my problems and i quietly accept this feeling,sad
this morning i felt nervous while waiting for test results while i am doing my normal tasks,anxious
right now i feel boiling inside while when people do not listen to me and i am trying to take care of myself,angry
this evening i feel furious while when things keep going wrong and i am taking a short break,angry
inside i feel worried while waiting for test results and i am just breathing slowly,anxious
inside i feel balanced while doing my daily routine without any special reason today,neutral
right now i feel happy while listening to my favourite music and i am paying attention to my thoughts,happy
lately i have been feeling drained while walking home in the rain and i am just breathing slowly,sad
this morning i felt boiling inside while when someone blames me for their mistake and i am trying to notice my mood,angry
this evening i feel balanced while doing my daily routine and i quietly accept this feeling,neutral
sometimes i feel content while finishing my work on time and i am trying to stay present,happy
right now i feel nervous while before meeting new people and i am trying to take care of myself,anxious
sometimes i feel worried while trying to fall asleep at night and i am just breathing slowly,anxious
this evening i feel okay while coming back home from work and i am trying to notice my mood,neutral
sometimes i feel furious while when someone cuts me off in traffic and i am taking a short break,angry
right now i feel heartbroken while being alone in my room while i am doing my normal tasks,sad
today i feel tense while before a job interview after a long day,anxious
i come to feel assured as part of your power to do what s in my greatest interest,happy
today i feel neutral while answering emails and i am trying to take care of myself,neutral
this morning i felt disappointed while sitting quietly after an argument after a long day,sad
inside i feel grateful while listening to my favourite music and i am thinking about my day,happy
sometimes i feel grateful while finishing my work on time and i am just breathing slowly,happy
today i feel thankful while having a walk in the park and i am thinking about my day,happy
this morning i felt fine while doing my usual work and i quietly accept this feeling,neutral
today i feel okay while walking to the shop and i am trying to notice my mood,neutral
finally i went to the store today at the office,neutral
lately i have been feeling uneasy while waiting for test results and i am writing it down in my journal,anxious
sometimes i feel thankful while reading a good book without any special reason today,happy
this morning i felt heartbroken while walking home in the rain and i am just breathing slowly,sad
lately i have been feeling restless while before giving a presentation without any special reason today,anxious
right now i feel sad while missing my friends and i quietly accept this feeling,sad
right now i feel normal while sitting quietly on the sofa and i am taking a short break,neutral
today i feel grateful while going out for dinner and i am just breathing slowly,happy
these days i feel content while listening to my favourite music and i am taking a short break,happy
sometimes i feel angry while when my plans are cancelled last minute and i am just breathing slowly,angry
sometimes i feel frustrated while when someone blames me for their mistake after a long day,angry
sometimes i feel annoyed while when someone blames me for their mistake and i quietly accept this feeling,angry
these days i feel drained while thinking about my problems after a long day,sad
today i feel stressed while trying to fall asleep at night without any special reason today,anxious
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,angry
these days i feel grateful while having a walk in the park and i quietly accept this feeling,happy
this evening i feel drained while looking at old photos and i am thinking about my day,sad
these days i feel excited while having a walk in the park and i quietly accept this feeling,happy
this morning i felt mad while after arguing with a friend after a long day,angry
sometimes i feel proud while drinking tea in the evening while i am doing my normal tasks,happy
today i feel angry while after a long and stressful day and i am writing it down in my journal,angry
this morning i felt restless while while waiting for a message and i am taking a short break,anxious
sometimes i feel on edge while while checking my emails and i am writing it down in my journal,anxious
i came up with the following i m drawing a blank as to what this is called to help me when i am feeling fearful or attacked,anxious
this evening i feel worried while when i see many tasks on my list and i am paying attention to my thoughts,anxious
sometimes i feel annoyed while when things keep going wrong and i am trying to take care of myself,angry
right now i feel grateful while relaxing at home after a long day while i am doing my normal tasks,happy
lately i have been feeling lonely while coming back from a bad day at work after a long day,sad
this morning i felt nervous while before a job interview while i am doing my normal tasks,anxious
lately i have been feeling neutral while coming back home from work and i am taking a short break,neutral
this evening i feel anxious while when i think about the future after a long day,anxious
i am way behind with my work on the fantasy novel and i feel very frustrated,angry
sometimes i feel disappointed while remembering old mistakes after a long day,sad
sometimes i feel proud while talking with my friends and i am trying to stay present,happy
inside i feel excited while listening to my favourite music and i am taking a short break,happy
inside i feel grateful while having a walk in the park and i quietly accept this feeling,happy
this evening i feel furious while after reading rude comments online and i am writing it down in my journal,angry
right now i feel frustrated while when someone cuts me off in traffic and i am taking a short break,angry
inside i feel down while missing my friends and i am writing it down in my journal,sad
inside i feel calm while getting ready for the day after a long day,neutral
these days i feel lonely while looking at old photos and i quietly accept this feeling,sad
inside i feel anxious while before an important exam and i am just breathing slowly,anxious
i choose someone i feel that it is my obligation to be truthful and completely faithful to that person with utmost loyalty,happy
today i feel disappointed while missing my friends and i quietly accept this feeling,sad
inside i feel happy while talking with my friends and i am paying attention to my thoughts,happy
today i feel grateful while reading a good book and i am writing it down in my journal,happy
today i feel irritated while when things keep going wrong without any special reason today,angry
this evening i feel furious while after reading rude comments online and i am writing it down in my journal,angry
today i feel irritated while when someone cuts me off in traffic and i am taking a short break,angry
this morning i felt boiling inside while when someone cuts me off in traffic and i am writing it down in my journal,angry
lately i have been feeling anxious while before meeting new people and i am trying to notice my mood,anxious
lately i have been feeling uneasy while waiting for test results and i am trying to notice my mood,anxious
this evening i feel thankful while having a walk in the park and i am trying to take care of myself,happy
sometimes i feel stressed while trying to fall asleep at night while i am doing my normal tasks,anxious
lately i have been feeling mad while when things keep going wrong and i am trying to notice my mood,angry
these days i feel on edge while while checking my emails and i am thinking about my day,anxious
today i feel steady while walking to the shop and i quietly accept this feeling,neutral
today i feel fine while cleaning the house and i am taking a short break,neutral
sometimes i feel nervous while trying to fall asleep at night and i am trying to take care of myself,anxious
inside i feel tense while trying to fall asleep at night and i am trying to notice my mood,anxious
right now i feel fine while walking to the shop and i am just breathing slowly,neutral
these days i feel furious while after reading rude comments online and i am thinking about my day,angry
inside i feel sad while remembering old mistakes after a long day,sad
i would feel timid wearing them beacuse id try to not get them dirty etc,anxious
sometimes i feel irritated while when my plans are cancelled last minute while i am doing my normal tasks,angry
lately i have been feeling restless while while waiting for a message after a long day,anxious
this morning i felt angry while after a bad meeting at work while i am doing my normal tasks,angry
lately i have been feeling angry while when my plans are cancelled last minute and i am trying to notice my mood,angry
lately i have been feeling heartbroken while thinking about my problems and i am trying to take care of myself,sad
these days i feel content while having a walk in the park and i am taking a short break,happy
today i feel mad while when someone cuts me off in traffic and i am trying to notice my mood,angry
this evening i feel frustrated while when someone blames me for their mistake and i am writing it down in my journal,angry
this morning i felt proud while finishing my work on time and i quietly accept this feeling,happy
inside i feel worried while trying to fall asleep at night and i am trying to stay present,anxious
lately i have been feeling balanced while walking to the shop and i am taking a short break,neutral
sometimes i feel thankful while listening to my favourite music and i am trying to take care of myself,happy
this evening i feel on edge while before meeting new people and i am trying to stay present,anxious
these days i feel grateful while playing games with my siblings and i am trying to take care of myself,happy
these days i feel angry while when someone cuts me off in traffic and i am thinking about my day,angry
this evening i feel upset while scrolling through social media and i am trying to take care of myself,sad
inside i feel disappointed while trying to sleep but failing and i am thinking about my day,sad
sometimes i feel proud while talking with my friends and i am trying to stay present,happy
right now i feel okay while getting ready for the day and i am trying to take care of myself,neutral
this morning i felt proud while spending time with my family and i am trying to stay present,happy
this morning i felt tense while trying to fall asleep at night and i am thinking about my day,anxious
today i feel fine while doing my daily routine and i am just breathing slowly,neutral
already i watched tv in the evening at the office,neutral
right now i feel unhappy while being alone in my room and i am trying to take care of myself,sad
this evening i feel heartbroken while being alone in my room and i am trying to take care of myself,sad
this evening i feel uneasy while when i think about the future and i quietly accept this feeling,anxious
this evening i feel okay while answering emails and i am just breathing slowly,neutral
right now i feel stressed while before giving a presentation and i am trying to take care of myself,anxious
this morning i felt frustrated while after a bad meeting at work and i quietly accept this feeling,angry
inside i feel frustrated while when someone blames me for their mistake and i am paying attention to my thoughts,angry
i am happy to be feeling well enough to be back on the blogging scene,happy
today i feel joyful while spending time with my family and i am paying attention to my thoughts,happy
today i feel joyful while talking with my friends and i am trying to take care of myself,happy
these days i feel uneasy while waiting for test results while i am doing my normal tasks,anxious
lately i have been feeling tense while before meeting new people and i am just breathing slowly,anxious
sometimes i feel restless while before giving a presentation and i am trying to take care of myself,anxious
lately i have been feeling down while trying to sleep but failing and i am trying to stay present,sad
